2022-08-28 11:24:41,223 0      [p-bio-80-exec-4] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 114708
2022-08-28 11:29:25,541 0      [p-bio-80-exec-1] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 187056
2022-08-28 11:31:29,075 123534 [p-bio-80-exec-9] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 119194
2022-08-28 11:45:26,718 961177 [p-bio-80-exec-8] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 775352
2022-08-28 11:51:37,857 1332316 [p-bio-80-exec-7] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 237035
2022-08-28 11:53:02,931 1417390 [p-bio-80-exec-2] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 84849
2022-08-28 11:54:41,013 1515472 [p-bio-80-exec-3] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 97854
2022-08-28 11:56:19,432 1613891 [p-bio-80-exec-4] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 98190
2022-08-28 11:58:13,415 1727874 [-bio-80-exec-10] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 113681
2022-08-28 11:59:58,348 1832807 [p-bio-80-exec-7] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 60173
2022-08-28 12:03:30,166 2044625 [p-bio-80-exec-1] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 69186
2022-08-28 12:13:14,202 0      [bio-8080-exec-7] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 203818
2022-08-28 12:15:51,031 156829 [bio-8080-exec-8] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 149013
2022-08-28 12:17:36,087 261885 [bio-8080-exec-2] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 99828
2022-08-28 13:32:36,777 0      [bio-8080-exec-3] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 68617
2022-08-28 14:18:51,608 0      [bio-8080-exec-3] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 119915
2022-08-28 14:32:44,748 0      [bio-8080-exec-5] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 239995
2022-08-28 14:34:10,037 85289  [bio-8080-exec-1] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 85061
